individual,Dnov1a,Dnov1b,Dnov6a,Dnov6b,Dnov7a,Dnov7b,Dnov24a,Dnov24b,Dnov51a,Dnov51b,Age class
281,228,240,142,142,217,217,253,265,213,213,Juvenile
282,228,240,142,142,217,217,253,265,213,213,Juvenile
283,228,240,142,142,217,217,253,265,213,213,Juvenile
284,228,240,134,146,215,217,261,261,213,213,Adult
285,224,240,142,142,211,217,253,265,213,213,Adult
286,228,240,142,154,215,217,261,265,0,0,Juvenile
287,228,240,142,154,0,0,261,265,213,213,Juvenile
288,228,240,142,154,215,217,261,265,213,213,Juvenile
289,228,240,142,154,215,217,261,265,,,Juvenile
290,224,228,142,142,211,217,253,261,,,Adult
291,224,228,134,142,215,217,265,265,,,Adult
292,220,224,134,142,217,217,261,265,,,Adult
293,220,240,146,154,217,217,253,261,,,Adult
294,224,228,142,158,215,217,253,261,,,Adult
297,228,240,142,142,211,217,253,253,,,Juvenile
299,224,224,134,138,217,217,0,0,209,213,Juvenile
300,224,236,134,134,215,217,253,261,213,213,Adult
301,228,228,142,142,217,217,253,261,213,213,Juvenile
302,228,228,134,158,217,217,253,253,213,213,Adult
303,228,236,142,142,217,217,265,265,213,213,Yearling
304,228,240,142,142,217,217,253,265,0,0,Adult
305,228,240,142,142,211,217,253,253,0,0,Juvenile
306,240,240,142,142,211,217,0,0,0,0,Juvenile
307,228,240,142,146,217,217,253,253,213,213,Adult
308,228,236,142,142,217,217,261,261,213,213,Yearling
309,224,240,142,142,217,217,253,261,209,213,Juvenile
310,228,240,134,142,215,217,261,265,213,213,Adult
311,240,240,134,138,215,215,253,261,213,213,Adult
312,228,240,134,142,217,217,253,265,213,213,Adult
313,228,240,142,146,215,217,253,261,213,213,Adult
314,240,240,134,142,215,217,261,261,213,213,Adult
315,228,240,134,142,215,217,253,261,209,213,Adult
317,228,228,0,0,215,217,253,261,0,0,Yearling
318,220,228,134,154,215,217,253,265,213,213,Adult
320,224,236,134,134,215,217,261,261,213,213,Adult
321,224,240,142,142,215,217,261,265,209,213,Adult
322,228,240,138,142,217,217,253,253,213,213,Adult
323,224,240,142,142,217,217,261,261,213,213,Adult
324,228,236,134,142,215,217,253,253,209,213,Adult
325,240,240,134,142,217,217,261,261,213,213,Adult
326,220,240,134,142,211,211,261,265,213,213,Adult
327,228,228,134,154,211,211,253,261,213,213,Adult
328,228,240,134,146,217,217,261,265,213,213,Adult
329,224,228,134,142,217,217,253,261,213,213,Adult
330,228,240,142,154,211,215,253,261,213,213,Yearling
331,224,228,134,134,215,217,253,261,213,217,Juvenile
332,224,228,134,134,215,217,253,261,213,213,Juvenile
333,228,240,142,154,215,215,261,265,213,213,Adult
334,240,240,134,142,0,0,265,265,213,213,Adult
335,228,240,142,142,215,215,261,261,213,213,Adult
336,228,236,134,142,217,217,261,265,213,213,Juvenile
337,224,224,134,138,0,0,253,261,209,213,Juvenile
338,224,236,142,154,215,217,253,253,213,213,Juvenile
339,224,228,142,142,217,217,261,261,209,213,Adult
340,228,240,142,142,217,217,253,261,213,213,Adult
341,228,228,134,146,217,217,253,253,213,213,Adult
342,224,228,142,142,211,215,253,261,213,213,Adult
343,228,240,134,142,217,217,253,253,213,213,Adult
344,224,228,134,142,217,217,261,261,213,213,Adult
345,232,240,134,138,217,217,253,253,209,213,Adult
346,236,240,142,146,217,217,253,261,213,213,Adult
347,224,236,134,134,217,217,253,261,213,213,Adult
348,228,240,134,142,217,217,253,265,213,213,Adult
349,224,240,142,142,215,217,265,265,213,213,Juvenile
350,228,228,142,142,211,215,253,253,213,213,Adult
351,228,236,142,146,217,217,261,265,209,213,Adult
352,228,240,134,154,217,217,261,265,213,213,Adult
353,228,236,142,142,215,217,253,265,213,213,Adult
354,228,240,134,142,0,0,253,261,213,213,Adult
355,240,240,142,142,215,217,253,253,213,213,Adult
356,220,220,142,154,0,0,253,265,213,213,Adult
357,224,240,142,146,0,0,253,253,209,213,Adult
358,228,240,154,154,215,217,253,261,213,213,Adult
359,228,228,134,138,217,217,253,265,213,213,Adult
360,224,240,134,138,215,217,253,261,213,213,Adult
361,228,232,134,146,217,217,253,261,213,213,Adult
362,236,240,134,142,217,217,253,261,213,213,Adult
363,240,240,134,146,215,217,253,253,213,213,Adult
364,224,224,142,154,215,217,261,265,213,213,Adult
365,224,224,134,158,215,217,261,261,213,213,Adult
366,220,228,134,142,215,217,261,261,213,213,Adult
367,228,228,134,142,215,217,261,261,213,213,Adult
368,228,228,142,158,211,211,261,265,213,213,Adult
369,228,240,134,154,217,217,253,269,213,213,Adult
370,228,240,142,142,211,217,0,0,213,213,Adult
371,228,240,142,142,217,217,253,269,213,213,Adult
372,228,236,142,146,215,215,261,265,209,213,Adult
373,228,228,134,142,217,217,261,265,209,213,Adult
374,224,228,142,142,217,217,253,253,213,213,Adult
375,240,240,142,142,217,217,261,269,213,213,Adult
376,240,240,142,146,217,217,253,253,213,213,Adult
377,220,240,134,142,217,217,253,265,213,213,Adult
378,220,240,134,142,217,217,253,253,213,213,Adult
379,228,240,134,154,217,217,261,265,213,213,Yearling
381,228,228,134,158,217,217,253,261,213,213,Adult
382,228,228,142,142,211,215,253,261,213,213,Adult
383,224,240,142,142,217,217,253,253,213,213,Adult
384,224,228,134,142,217,217,253,253,209,213,Adult
385,240,240,134,146,217,217,253,253,213,213,Adult
386,228,240,142,142,215,217,253,261,213,213,Adult
387,240,240,138,138,215,217,253,253,213,213,Adult
388,228,240,0,0,215,217,253,265,213,213,Adult
389,228,240,134,142,215,215,253,269,213,213,Adult
390,220,240,134,142,217,217,253,265,213,213,Adult
391,220,228,134,158,217,217,253,265,213,213,Adult
392,228,240,142,142,217,217,261,261,209,213,Adult
394,220,240,134,148,215,217,253,261,209,209,Adult
395,236,240,134,142,215,215,253,265,209,213,Adult
396,220,240,0,0,0,0,253,261,213,213,Adult
397,224,224,134,142,217,217,253,253,213,213,Adult
398,228,240,134,146,215,215,253,261,213,213,Adult
399,224,228,134,134,0,0,261,261,213,213,Adult
400,228,228,134,154,215,217,261,261,213,213,Adult
401,224,240,134,134,217,217,261,261,213,213,Adult
402,224,228,142,146,215,217,253,265,213,213,Adult
